show_id,title,releaseDate,seasonCount,rating,description,duration,tagline,metascore,metascore_count,metascore_sentiment,userscore,userscore_count,userscore_sentiment,seasonCount_was_null
1000300563,Samurai Jack,2001-08-10,5.0,TV-MA,"Long ago, in a distant land, I, Aku, the shape shfiting Master of Darkness, unleashed an unspeakable evil. But a foolish samurai warrior wielding a magic sword stepped forward to oppose me. Before the final blow was struck, I tore open a portal in time and flung him into the future, where my evil is law. Now, the fool seeks to return to the past and undo the future that is Aku!

This cartoon from Dexter's Labratory creator Genndy Tartakovsky tells the story of a great warrior displaced to the distant future by the evil shape-shifting wizard Aku. The world has become a bleak place under the rule of Aku, segregated into fantastic tribes and ruled by Aku's evil robot warlords. Jack travels this foreign landscape in search of a time portal that can return him to his home time so he can ""undo the future that is Aku!"".

Samurai Jack is currently shown around the world on the following networks:

Cartoon Network in US, Australia, Hong Kong, Latin America (dubbed into Spanish) and Japan (dubbed into Japanese).
YTV in Canada
Toonami in UK
A total of 52 episodes have been ordered by Cartoon Network.
On DVD you can still get the opening Movie (first 3 episodes), and from 4th May 2004, the first 13 episodes will be released in a ""Season One"" box set. (All releases in Region 1(US/Canada) only)

There was a live action movie rumoured to be ""in the works"" but news of this has dried up, and we don't know its current status.",23.0,"In the future evil takes many forms, and our only hope is one man from the past.",93.0,7,Universal acclaim,88,521,Universal acclaim,False
1000357338,Atlanta,2016-09-06,4.0,TV-MA,"Earnest ""Earn"" Marks (Donald Glover) returns to his hometown of Atlanta to discovers his cousin Alfred Miles (Brian Tyree Henry) is seen as a hot upcoming rapper and seeks to guide his career to the big time.",30.0,,92.0,99,Universal acclaim,83,932,Universal acclaim,False
1000359569,Homecoming: A Film by Beyoncé,2019-04-17,1.0,TV-MA,"The documentary film about Beyoncé's 2018 Coachella performance promises interviews, behind-the-scenes footage and information about the creation of her concept.",137.0,A Film by Beyonce,93.0,14,Universal acclaim,91,368,Universal acclaim,True
1000361968,Romeo & Juliet,2021-04-04,1.0,Unknown,Simon Godwin's version of Shakespeare's Romeo and Juliet filmed at London's National Theatre with Jessie Buckley and Josh O'Connor as the doomed young lovers airs as a part of PBS's Great Performances. ,95.0,,92.0,7,Universal acclaim,55,11,Mixed or average,True
1000361975,The Underground Railroad,2021-05-13,1.0,TV-MA,Cora (Thuso Mbedu) and Caesar (Aaron Pierre) escape from a plantation and learn the Underground Railroad is an actual physical underground railway line. But a bounty hunter named Ridgeway (Joel Edgerton) is determined to bring Cora back in this Barry Jenkins adaptation of Colson Whitehead's novel of the same name.,59.0,,92.0,37,Universal acclaim,76,160,Generally favorable,False
1000357404,Fleabag,2016-07-21,2.0,TV-MA,"Based on the play by Phoebe Waller-Bridge, the BBC3 comedy series focuses on an angry, self-loathing 20-something nicknamed Fleabag who struggles with running her cafe and the memory of the death of her best friend.",30.0,,92.0,40,Universal acclaim,83,929,Universal acclaim,False
1000300328,My So-Called Life,1994-08-25,1.0,TV-14,"My So-Called Life started in 1994 on ABC. It was very popular. It was a show that many could relate to and came off as more realistic than many other high school shows. Unfortunately, ABC cancelled it after one season.   It has remained a favorite for long after.  There are many questions left unresolved. If there was a season 2, would Rayanne and Angela be friends? Would Graham overcome his fidelity issues?  Would Angela ditch dreamboat Jordan Catalano and go with geeky Brian Krakow? We'll never know.",,You know how it feels.,92.0,19,Universal acclaim,84,48,Universal acclaim,False
1000366326,The Last Movie Stars,2022-07-21,1.0,TV-MA,"The six-part Ethan Hawke documentary about Joanne Woodward and Paul Newman features archival interviews of Woodward and Newman as well as new interviews with Sally Field, Melanie Griffith, and Martin Scorsese.",60.0,,91.0,16,Universal acclaim,77,27,Generally favorable,False
1000366399,This Is Going To Hurt,2022-02-08,1.0,TV-14,"The adaptation of Adam Kay's memoir of the same name follows Adam (Ben Whishaw) as he deals with the challenges of working the OB-GYN ward of a British NHS hospital.

[Premiered originally in the UK on BBC One on 8 Feb 2022 and in the US on AMC+/Sundance Now on 2 Jun 2022]",45.0,,91.0,20,Universal acclaim,76,87,Generally favorable,False
1000342264,Borgen,2010-09-26,4.0,TV-14,"The Danish political drama produced by the same people as the Danish version of The Killing follows Birgitte Nyborg (Sidse Babett Knudsen) as she becomes Prime Minister.

[Premiered originally on Denmark's D1 on 26 Sep 2010; to begin airing on Netflix US on 1 Sep 2020 and a season 4 is expected in 2022]",58.0,,91.0,12,Universal acclaim,84,56,Universal acclaim,False
1000339328,Frozen Planet,2011-10-26,1.0,TV-PG,"Narrated by Alec Baldwin, the BBC and Discovery coproduced documentary series goes north and south to cover life in the Arctic and Antarctic.",60.0,,91.0,15,Universal acclaim,87,54,Universal acclaim,False
1000367993,Adolescence,2025-03-13,1.0,TV-MA,13-year-old Jamie Miller (Owen Cooper) is accused of murdering a classmate in the four-part limited series co-created and written by Stephen Graham and Jack Thorne. Each episode was filmed in one continuous take.,60.0,A child accused. Everyone left to answer.,91.0,29,Universal acclaim,69,503,Generally favorable,False
1000358605,The Zen Diaries of Garry Shandling,2018-03-26,1.0,TV-MA,"The two-part documentary by Judd Apatow about the comedian features interviews with over 40 friends and family, including James L. Brooks, Jim Carrey, Sacha Baron Cohen, David Coulier, Jon Favreau, Jay Leno, Kevin Nealon, Conan O’Brien, Bob Saget, Jerry Seinfeld and Sarah Silverman.",259.0,,90.0,9,Universal acclaim,71,10,Generally favorable,True
1000361664,It's a Sin,2021-01-22,1.0,TV-MA,"The five-part miniseries written and created by Russell T Davies is set in the early 1980s where five friends (Olly Alexander, Omari Douglas, Callum Scott Howells, Lydia West and Nathaniel Curtis) move to London and find their lives forever changed by HIV/AIDS.

[Premiered originally in the UK on Channel 4 on 22 Jan 2021 and in the US on HBO Max on 18 Feb 2021]",45.0,,91.0,26,Universal acclaim,81,114,Universal acclaim,False
1000357169,The Night Of,2016-06-24,1.0,TV-MA,"The limited crime drama series created by Steven Zaillian and Richard Price (loosely based on BBC series Criminal Justice) examines the New York City criminal system through attorney Jack Stone (John Turturro) and his client, a young Pakistani named Nasir Khan (Riz Ahmed), who is accused of murder.",60.0,What happened,90.0,40,Universal acclaim,87,624,Universal acclaim,False
1000341946,The Corner,2000-04-16,1.0,TV-MA,"Based on the nonfiction book ""The Corner: A Year in the Life of an Inner-City Neighborhood"", by journalists David Simon and Edward Burns, The Corner presents the world of Fayette Street using real names and real events. The Corner tells the true story of men, women and children living amid the open-air drug markets of West Baltimore. It chronicles a year in the lives of 15-year old DeAndre McCullough (Sean Nelson, ""THE WOOD""), his mother Fran Boyd (Khandi Alexander), and his father Gary McCullough (T.K. Carter), as well as other addicts and low-level drug dealers caught up in the twin-engine economy of heroin and cocaine.",60.0,"On the front lines of America's drug war, one family is living in the crossfire.",90.0,21,Universal acclaim,80,24,Generally favorable,False
1000360615,How to With John Wilson,2020-10-23,3.0,TV-MA,"The comedic documentary filmed in New York City features commentary and advice on such topics like small talk, scaffolding, memory, check splitting, cooking risotto, and furniture coverings.",30.0,"Hey, New York.",90.0,20,Universal acclaim,80,76,Generally favorable,False
1000359866,Genndy Tartakovsky's Primal,2019-10-07,3.0,TV-MA,The prehistoric animated adventure miniseries from Genndy Tartakovsky follows a caveman as he bonds with a tyrannosaurus rex.,22.0,,90.0,13,Universal acclaim,83,221,Universal acclaim,False
1000358181,The Vietnam War,2017-09-17,1.0,TV-MA,"Ken Burns and Lynn Novick returns with a 10-part, 18-hour miniseries about the war features interviews, archival footage, home movies, photos, and audio clips. ",100.0,There is no single truth in war.,90.0,19,Universal acclaim,82,80,Universal acclaim,False
1000360288,The Last Dance,2020-04-19,1.0,TV-MA,The 10-part documentary series directed by Jason Hehir about Michael Jordan and the Chicago Bulls' 1997-98 championship season includes interviews and never-before-seen footage.,50.0,,90.0,13,Universal acclaim,88,264,Universal acclaim,False
1000301274,Battlestar Galactica (2003),2004-10-18,4.0,TV-14,"The Best Show on Television? Yes, according to Time Magazine, The National Review, Rolling Stone and New York Newsday. Praised by The New York Times, The New Yorker, The San Francisco Chronicle, The Chicago Tribune and many other publications, Battlestar Galactica won a prestigious Peabody Award in the spring of 2006.

Ronald D. Moore, the producer of Carnivale and writer for Star Trek: The Next Generation and Star Trek: Deep Space Nine, boldly re-imagined the original 1978 space opera of humans versus the robotic Cylons. He teamed up with fellow executive producer David Eick on a powerful and dramatic update of the Galactica story.

Gone are the technobabble, disco-themed costumes and Egyptian helmets of the original series. The modern show introduces new elements to the Galactica story. The Cylons have developed human-form models that are indistinguishable from real humans. The Cylons have a monotheistic religion in contrast to the polytheistic religion of the human Colonies. The approach is serious and intense, with a focus on tough political, philosophical and religious issues set in a tale that manages to keep the focus on realistic and not always perfect characters.In the miniseries, the Cylons launch a massive attack against the humans and wipe out the Twelve Colonies, sending the 47,000 survivors on a desperate search for the fabled 13th colony -- Earth.


Season One Overview

The Cylons declare war on humanity, wiping out billions in an unprovoked first strike. The Colonial fleet is all but eliminated leaving just a handful of ships, including the soon to be decommissioned battlestar Galactica. Galactica is manned by a crew that never expected to be involved in real duty.  With the president gone and the government all but eliminated, Laura Roslin, the Education Minister, takes on the mantle of President of the 12 Colonies.

Gaius Baltar, a top researcher in Artificial Intelligence, inadvertently betrayed humanity by allowing a Cylon agent into the defense network, rendering it and all of the Colonial military forces impotent in the face of the Cylon attacks.  He sees her everywhere when no one else can. He initially attributes this to stress-induced hallucinations. She tells him that she implanted a chip in his brain during their time on Caprica, which enables her to talk to him. Over the season Baltar falls in love with the Cylon, Number Six, eventually betraying humanity again and again.

A lone soldier is trapped on Cylon-occupied Caprica, having given up his seat on a transport for Baltar, as he believes that his own life is not as important as one of the greatest minds of their time. He struggles against the odds, trying to stay alive amid the hostile Cylons. He is surprised to learn that Sharon Valerii, the pilot of the transport, returned for him. However, the truth is that she is actually another human-form Cylon. Sharon and Helo spend the season trying to escape Caprica. Sharon also finds herself falling in love with her human target. The season ends with her pregnant and fighting to save his life.

Meanwhile, the copy of Sharon onboard Galactica (known as ""Boomer"") has set off several bombs and engaged in other acts of sabotage. The season ends with a stunning turn of events after a successful mission to disable a Cylon base ship.

For a more detailed overview of the first three seasons, visit the pinned thread titled ""Battlestar Galactica in Just Ten Minutes"" located in the forum.

Awards and critical praise

The 2003 miniseries was the highest-rated miniseries on the Sci Fi Channel (soon to be known as Syfy) at the time. It was also the most successful cable miniseries that TV season.The first regular season premiered to excellent viewer numbers and critical acclaim. After the midseason break in Season Two, the show received widespread recognition from the mainstream media, including several outlets not always known for their interest in science fiction. As mentioned above, Time Magazine named BSG the best show on television for 2005. Rolling Stone Magazine and New York Newsday also named BSG the best show of the year. Many other publications like the New York Times and the Chicago Tribune lavished praise on the series.The American Film Institute added the show to its list of the ten best television shows of 2005. The show won Emmy Awards in the usual sci-fi categories of special visual effects but it also received Emmy nominations for writing and directing. It also won a prestigious Peabody award for its general excellence in creativity in the television medium.

The Sci Fi Channel has used creative means to promote the series, including the release of certain episodes as free streaming video on the official website. In the month leading up to the start of Season Three, the Sci Fi Channel aired a Web-only series titled Battlestar Galactica: The Resistance. The brief, 2 to 3 minute episodes revealed key events from the time period between the Season Two finale and the Season Three premiere episode. Another Web-only series was shown on the official website in the lead-up to the Season 4.5 ""final"" episodes.

A Battlestar Galactica television movie, ""Razor"", was broadcast in late 2007, followed soon after with a release on DVD. The story followed the struggles of Admiral Cain and young Kendra Shaw as they tried to survive the Cylon attack on the Colonies. The hard-hitting movie was well received by fans and critics.

Even though the series ""ended"" on March 20, 2009, with the two-hour broadcast of ""Daybreak, Part 2"", the Sci Fi Channel (Syfy) will broadcast one final Battlestar Galactica television movie. ""The Plan"" is scheduled to air in the fall of 2009.

The Galactica franchise will live on, even after the final movie and DVD. A prequel series, Caprica, began production even before Battlestar Galactica ended. The pilot movie will be released as a stand-alone DVD in April 2009. The movie will later air on Syfy along with regular episodes of the new series in 2010. For more information about this look at the early days of the development of the Cylons on Caprica, please consult the separate guide for that series.

Original Broadcast History: Season One
October 18, 2004 - January 24, 2005 - 8:00 PM SKY One (UK)
January 14, 2005 - April 1, 2005 - Fridays @ 10:00 PM Sci Fi Channel (USA)",45.0,The fight to save humanity rages on.,89.0,62,Universal acclaim,89,956,Universal acclaim,False
1000365629,Reservation Dogs,2021-08-08,3.0,TV-MA,The comedy series from Sterlin Harjo and Taika Waititi follows four Indigenous teenagers in rural Oklahoma as they find ways (including stealing) to save money to move to California.,30.0,,89.0,54,Universal acclaim,77,153,Generally favorable,False
1000360156,Visible: Out on Television,2020-02-14,1.0,TV-MA,"The documentary series narrated by Janet Mock, Margaret Cho, Asia Kate Dillon, Neil Patrick Harris and Lena Waithe features archival footage and new interviews to look at LGBTQ characters on television and the impact of the LGBTQ movement on the medium.

",,,89.0,7,Universal acclaim,50,38,Mixed or average,False
1000365319,Bo Burnham: Inside,2021-05-30,1.0,TV-MA,"The musical comedy special was filmed by the comedian over the past year by himself, with no crew or audience.",87.0,,96.0,9,Universal acclaim,83,227,Universal acclaim,True
1000348308,Olive Kitteridge,2014-09-02,1.0,TV-14,"Over the course of 25 years, Olive Kitteridge's (Frances McDormand) interactions with the people of her small Maine town is the focus of this adaptation of Elizabeth Strout's Pulitzer-winning novel of the same name.",60.0,There's no such thing as a simple life.,89.0,34,Universal acclaim,82,157,Universal acclaim,False
1000300887,Boomtown,2002-09-29,2.0,TV-MA,"Boomtown depicts crime in Los Angeles from the very different perspectives of the four groups most intimately involved in the pursuit of justice -- the police, the citizens, the politicians, and the media -- and artfully illustrates how they interconnect.",45.0,One crime.  Seen from every point of view.,89.0,31,Universal acclaim,58,12,Mixed or average,False
1000361859,Last Chance U: Basketball,2021-03-10,2.0,TV-MA,The documentary series expands to junior college basketball with the 2019-2020 season of the East Los Angeles College Huskies.,60.0,,90.0,7,Universal acclaim,68,23,Generally favorable,False
1000359686,A Black Lady Sketch Show,2019-08-02,4.0,TV-MA,"Ashley Nicole Black, Quinta Brunson, Gabrielle Dennis, Robin Thede are some of the cast of this comedy sketch series from Thede.
",30.0,,89.0,12,Universal acclaim,58,66,Mixed or average,False
1000300858,The Wire,2002-06-02,5.0,TV-MA,"In chronicling a multi-generational family business dealing illegal drugs and the efforts of the Baltimore police to curb their trade, this series draws parallels between these organizations and the men and women on either side of the battle.The words of Gary W. Potter, Professor of Criminal Justice and Police Studies at Eastern Kentucky University, in writing about the savings and loan scandals of the 1980s, can also be used to illuminate some of the central premises of the show:""There is precious little difference between those people who society designates as respectable and law abiding and those people society castigates as hoodlums and thugs. The world of corporate finance and corporate capital is as criminogenic and probably more criminogenic than any poverty-wracked slum neighborhood. The distinctions drawn between business, politics, and organized crime are at best artificial and in reality irrelevant. Rather than being dysfunctions, corporate crime, white-collar crime, organized crime, and political corruption are mainstays of American political-economic life.""Tim Goodman, the television critic for The San Francisco Chronicle, summed the show up perfectly when he wrote: ""This show is precisely the reason you pay for HBO.""In New York's Newsday, Diane Werts says: ""Most TV crime series aspire to John Grisham's level. 'The Wire' aspires to Dostoevsky's.""Season ThemesSeason One centers around a family of drug dealers and the innerworkings of their empire.  It also follows the detectives who are trying to catch the high members of the empire.  Season Two steps away from the drug trade (while still mentioning characters from the previous season) to a case of dead prostitutes which turns into a look at the corruption surrounding the Port.  Season Three investigates politics and finishes the main stories that were left open in season one.  Season Four focuses on four middle school students and their journeys through the public school system and continues to address the politics of an inner-city and the issues of an election.  Season Five is rumored to be about the media's role in Baltimore.  Season Five will be the show's final season.Theme MusicIn the Season One opening credits, the Blind Boys of Alabama did Tom Waits's ""Way Down in the Hole"". The Season Two opening credits feature Waits's version of the song. According to creator David Simon, ""It was our way of saying: This is the same show (song) but this year, the tale itself (singer, tonality) will be different."" The Neville Brothers's version of the song opens Season Three. The theme which plays over the end credits was composed by the show's music supervisor, Blake Leyh.

International AiringsAustralia -- Monday at 12:00 p.m. on Ch.9. Currently airing Season 3.
New Zealand --  Wednesday at 11:40 p.m. on TV2, beginning December 15, 2004.",60.0,A new case begins... (second season),91.0,95,Universal acclaim,92,2709,Universal acclaim,False
1000341918,Murder One,1995-09-19,2.0,TV-14,"One of several crime and law dramas created by Steven Bochco (Hill Street Blues, NYPD Blue, L.A. Law), Murder One boasted a then-unique concept: it would tell a single story -- that of a major murder trial -- over the course of an entire season. In the first season, Daniel Benzali portrayed the lead defense attorney, Patricia Clarkson played his wife, and Jason Gedrick the accused man he represented. Audiences at the time seemed deterred by the serialization, with low ratings leading to major cast and format changes in season two.",60.0,,89.0,41,Universal acclaim,56,43,Mixed or average,False
1000359107,My Brilliant Friend,2018-11-18,4.0,TV-MA,The adaptation of Elena Ferrante's novels tells the story about childhood friends Elena (Elisa Del Genio) and Lila (Ludovica Nasti) in 1950s Naples.,60.0,The story of a lost child.,89.0,37,Universal acclaim,83,226,Universal acclaim,False
1000341023,The Americans,2013-01-30,6.0,TV-MA,Elizabeth (Keri Russell) and Philip Jennings (Matthew Rhys) are KGB agents posing as married Americans just outside of Washington D.C. during the 1980s.,44.0,All's fair in love and cold war.,89.0,154,Universal acclaim,86,1967,Universal acclaim,False
1000341987,The Returned,2012-11-26,2.0,TV-MA,"People long dead return to a small town including a 15-year old girl (Yara Pilart) killed in a car accident four years ago, a groom (Pierre Perrier) who committed suicide ten years ago, a young murdered boy (Swann Nambotin), and a serial killer (Guillaume Gouix) in this French drama (known as Les Revenants).",55.0,The dead have returned. But this is a homecoming like no other.,89.0,39,Universal acclaim,85,345,Universal acclaim,False
1000360340,A Parks and Recreation Special,2020-04-30,1.0,Unknown,Leslie Knope checks in with her friends while under self-isolating at home in this special episode that will raise money for Feeding America’s COVID-19 Response Fund.,,We could all use a little Knope right now.,89.0,14,Universal acclaim,74,28,Generally favorable,True
1000366099,Somebody Somewhere,2022-01-16,3.0,TV-MA,Kansas native Sam (Bridget Everett) feels out of place in her hometown but singing helps her discover a community with a group of outsiders in this comedy inspired by Everett's own life.,30.0,,89.0,26,Universal acclaim,80,107,Generally favorable,False
1000366128,Fraggle Rock: Back to the Rock,2022-01-21,2.0,TV-G,"Gobo, Red, Boober, Mokey, Wembley and Uncle Travelling Matt return with new music and adventures in this reboot of the ""Fraggle Rock"" series.",25.0,,89.0,8,Universal acclaim,65,22,Generally favorable,False
1000341151,The Hollow Crown,2012-06-30,2.0,TV-14,"The adaptions of William Shakespeare's plays Richard II, Henry IV part 1 and 2, and Henry V. ",150.0,,89.0,11,Universal acclaim,66,67,Generally favorable,False
1000360599,City So Real,2020-10-29,1.0,TV-14,The five-part documentary directed by Steve James looks at the city of Chicago and its residents as 21 candidates run for mayor of the Windy City in 2018-19.,,,93.0,15,Universal acclaim,64,32,Generally favorable,False
1000300838,The Shield,2002-03-12,7.0,TV-MA,"The Shield breaks the conventional formula of the cop genre. It plays out in a tough, morally ambiguous world in which the line between good and bad is crossed every day. The series focuses on the tension between a group of corrupt but effective cops and a captain torn between bringing them down and advancing his own political ambitions. The Shield stars Michael Chiklis (The Commish) as rogue cop ""Det. Vic Mackey,"" leader of the elite Strike Team unit, who is effective at eliminating crime but who operates under his own set of rules. Benito Martinez (Outbreak & Her Costly Affair) plays ""Captain David Aceveda,"" the young precinct head who doesn't like Mackey's tactics and wants to bust him off the force. And the Emmy-nominated CCH Pounder (ER & Boycott), plays ""Det. Claudette Wyms,"" a veteran detective who understands Mackey and knows how to play both sides of the fence.",45.0,Conscience is a killer (Season 5),89.0,46,Universal acclaim,90,658,Universal acclaim,False
1000301277,Bleak House,2005-10-27,1.0,TV-PG,"Bleak House is a new adaptation of Dickens's great story. Three young orphans - Esther, Richard and Ada - are sent to live at Bleak House, where they receive a friendly welcome from their rich guardian John Jarndyce. But all is not as it seems at Bleak House, and nothing but bad luck follows those who stay there.",30.0,,93.0,14,Universal acclaim,78,52,Generally favorable,False
1000301727,Everybody Hates Chris,2005-09-22,4.0,TV-PG,"Motivated by his childhood experiences, Emmy Award-winner/actor/comedian Chris Rock, narrates this very hilarious & touching story of a teenager growing up as the oldest of three children in Brooklyn, New York during the early 1980s.

Uprooted to a neighborhood and bused into a primarily white middle school two hours away by his strict, hard-working parents, Chris (played by Tyler James Williams) struggles to find his place, all while keeping his younger brother & sister in line at home and surmounting the tests of junior high school.  This dependable, resilient teen brings a unique, comedic spin to his everyday trials & upsets in UPN's new single-camera comedy, ""Everybody Hates Chris.""

The year that Chris turned 13 was 1982.  Filled with dreams that being a teenager would be really cool, Chris' entry into adolescence is turning out to be less pleasant.  Moved from the projects to the tough ""Bed-Stuy"" neighborhood of Brooklyn, Chris is still stuck in his big brother role.  As the family's ""emergency adult,"" he's accountable for taking care of his younger brother Drew (played by Tequan Richmond), and his younger sister Tonya (played by Imani Hakim) while his parents are working; Drew, although younger, is taller and more confident than Chris, while Tonya is the baby of the family, who gets all of the attention from his parents.

Chris' rough, cost-conscious father Julius (played by Terry Crews) works numerous jobs in order to properly support his family.  Meanwhile, his very strict, sassy mother Rochelle (played by Tichina Arnold), who works part-time in a small real estate office, runs the household on a very tight budget, while demanding the best for her children.

With his mother strong-minded to see him in a good school, Chris reluctantly faces multiple bus transfers each day to attend Corleone Junior High School in the fiercely Italian neighborhood, South Shore.  Although being an immediate target for bullies, Chris' innate charm and sharp wit enable him to make new friends at school, such as Greg (played by Vincent Martella), another smart, nice kid...who can't fight, by the way.

As Chris Rock pointedly looks back, his younger self is set to find what his family already knows: Chris' sharp, scrappy character is going to take him places.  But first, he's going to have to think, talk or run his way through one growing experience after another at both home and school, and on any number of buses along the way. ""Everybody Hates Chris"" is produced by 3 Art Entertainment and Paramount Studios.",22.0,If he wasn't picked on he'd have no material.,88.0,32,Universal acclaim,79,163,Generally favorable,False
1000368100,Long Story Short,2025-08-22,2.0,TV-14,The animated adult comedy series from Raphael Bob-Waksberg centers on the highs and lows of the lives of the Schwooper siblings.,25.0,,89.0,17,Universal acclaim,72,50,Generally favorable,False
